,name,description,symptoms,treatments
245,chronic bronchitis,Chronic bronchitis is a type of chronic obstructive pulmonary disease (COPD) that causes inflammation and narrowing of the airways in the lungs.,"['Persistent cough', 'Shortness of breath', 'Chest tightness']","['Bronchodilators', 'Corticosteroids', 'Oxygen therapy in severe cases']"
246,cirrhosis of the liver,"Cirrhosis is a late stage of scarring of the liver caused by long-term liver damage. It can lead to liver failure and other complications such as bleeding, infections, and liver cancer.","['Fatigue', 'Weakness', 'Loss of appetite', 'Nausea and vomiting', 'Abdominal pain and swelling', 'Jaundice', 'Itchy skin', 'Easy bruising and bleeding', 'Spider-like blood vessels on the skin']","['Medications to manage complications', 'Dietary changes to limit salt and fluid intake', 'Alcohol abstinence', 'Liver transplant']"
247,congestive heart failure,"Congestive heart failure occurs when the heart is unable to pump enough blood to meet the body's needs. It can lead to symptoms such as shortness of breath, fatigue, and swelling in the legs and ankles.","['Shortness of breath', 'Fatigue', 'Swelling in the legs, ankles, or feet', 'Rapid or irregular heartbeat', 'Chest pain', 'Persistent cough or wheezing', 'Lack of appetite', 'Confusion or impaired thinking']","['Medications to manage symptoms and improve heart function', 'Lifestyle changes such as diet and exercise', 'Implantation of devices such as pacemakers or defibrillators', 'Heart transplant']"
248,dental caries,"Dental caries, also known as tooth decay, is a common dental problem caused by the breakdown of tooth enamel by bacteria. It can lead to pain, infection, and tooth loss if left untreated.","['Toothache or pain when eating or drinking', 'Sensitivity to hot or cold temperatures', 'Visible holes or pits in the teeth', 'Dark spots on the teeth', 'Bad breath or a bad taste in the mouth']","['Fillings to repair cavities', 'Crowns to cover damaged teeth', 'Root canal therapy to treat infections', 'Tooth extraction in severe cases']"
249,heart attack,"A heart attack occurs when the blood flow to the heart muscle is blocked, usually by a blood clot. This can cause damage to the heart muscle and can be life-threatening.","['Chest pain or discomfort', 'Upper body pain or discomfort in the arms, back, neck, jaw, or stomach', 'Shortness of breath', 'Nausea or vomiting', 'Lightheadedness, dizziness, or fainting', 'Sweating']","['Aspirin', 'Thrombolytics (clot-busting drugs)', 'Antiplatelet drugs', 'Coronary angioplasty and stenting', 'Coronary artery bypass surgery']"
250,insomnia,Insomnia is a sleep disorder that makes it difficult to fall asleep or stay asleep.,"['Difficulty falling asleep', 'Difficulty staying asleep', 'Waking up too early', 'Daytime fatigue', 'Difficulty concentrating']","['Improving sleep habits', 'Medications', 'Cognitive behavioral therapy']"
251,intervertebral disc herniation,Intervertebral disc herniation is a condition in which the jelly-like center of a spinal disc pushes through a crack in the tough outer layer and puts pressure on the nerves near the spine.,"['Back pain', 'Leg pain', 'Numbness or tingling in the legs or feet', 'Muscle weakness', 'Bowel or bladder problems']","['Rest and activity modification', 'Physical therapy', 'Medications', 'Surgery']"
252,jaundice,"Jaundice is a condition that causes yellowing of the skin and whites of the eyes due to a buildup of bilirubin, a yellow pigment produced by the liver.","['Yellowing of the skin and whites of the eyes', 'Dark urine', 'Pale stools', 'Fatigue', 'Abdominal pain']","['Treating the underlying cause', 'Phototherapy', 'Exchange transfusion', 'Medications']"
253,nasal polyps,Nasal polyps are noncancerous growths that develop in the lining of the nose or sinuses.,"['Stuffy or runny nose', 'Postnasal drip', 'Decreased sense of smell', 'Facial pain or pressure', 'Snoring']","['Nasal corticosteroids', 'Nasal sprays', 'Antihistamines', 'Surgery']"
254,otitis media,"Otitis media is an infection or inflammation of the middle ear, which is the space behind the eardrum that contains the small bones that vibrate in response to sound.","['Ear pain', 'Fever', 'Drainage from the ear', 'Difficulty hearing', 'Irritability']","['Watchful waiting', 'Antibiotics', 'Pain relievers', 'Surgery']"
255,rectal cancer,"Rectal cancer is a type of cancer that occurs in the cells of the rectum, which is the last section of the large intestine.","['Bleeding from the rectum', 'Changes in bowel habits', 'Abdominal pain or discomfort', 'Weakness and fatigue', 'Unintended weight loss']","['Surgery', 'Radiation therapy', 'Chemotherapy', 'Targeted therapy']"
256,sciatica,"Sciatica is a type of pain that affects the sciatic nerve, which runs from the lower back down to the legs and feet.","['Pain in the lower back, buttocks, and legs', 'Numbness or tingling in the legs or feet', 'Weakness in the legs', 'Difficulty walking']","['Physical therapy', 'Pain medication', 'Steroid injections', 'Surgery']"
257,skin cancer,Skin cancer is a type of cancer that occurs in the cells of the skin.,"['Changes in the appearance of moles or other skin lesions', 'A new growth on the skin', ""A sore that doesn't heal"", 'Pain, itching, or bleeding on the skin']","['Surgery', 'Radiation therapy', 'Chemotherapy', 'Immunotherapy']"
258,spinal stenosis,"Spinal stenosis is a narrowing of the spaces within the spine, which can put pressure on the nerves that travel through the spine.","['Pain or numbness in the legs or arms', 'Weakness in the legs or arms', 'Difficulty walking or maintaining balance', 'Loss of bowel or bladder control']","['Physical therapy', 'Pain medication', 'Steroid injections', 'Surgery']"
259,stomach cancer,Stomach cancer is a type of cancer that occurs in the cells of the stomach.,"['Abdominal pain or discomfort', 'Nausea or vomiting', 'Loss of appetite', 'Unintended weight loss', 'Feeling full after eating small amounts of food']","['Surgery', 'Radiation therapy', 'Chemotherapy', 'Targeted therapy']"
260,testicular cancer,"Testicular cancer occurs when abnormal cells in the testicles grow and divide uncontrollably, forming a mass or tumor.","['A painless lump or swelling in the testicle', 'A feeling of heaviness in the scrotum', 'A dull ache in the abdomen or groin']","['Surgery to remove the affected testicle (orchiectomy)', 'Radiation therapy', 'Chemotherapy']"
261,thyroid cancer,"Thyroid cancer is a type of cancer that starts in the cells of the thyroid gland, which is located in the front of the neck.","['A lump or swelling in the neck', 'Pain in the neck or throat', 'Difficulty swallowing or breathing']","['Surgery to remove all or part of the thyroid gland', 'Radiation therapy', 'Chemotherapy']"
262,tinnitus,"Tinnitus is a condition where a person hears a ringing, buzzing, or other noise in one or both ears that is not caused by an external sound.","['Ringing, buzzing, or other noise in the ears', 'Difficulty sleeping or concentrating', 'Anxiety or depression']","['Identifying and treating underlying causes (e.g., earwax buildup, high blood pressure)', 'Using a white noise machine or other sound therapy', 'Counseling or therapy to help manage anxiety or depression']"
263,uterine cancer,"Uterine cancer is a type of cancer that starts in the cells of the uterus (womb), which is a hollow organ in the female reproductive system.","['Abnormal vaginal bleeding (e.g., bleeding between periods, after menopause)', 'Pelvic pain or pressure', 'Pain during sex']","['Surgery to remove the uterus (hysterectomy) and/or other affected organs', 'Radiation therapy', 'Chemotherapy']"
264,venous insufficiency,"Venous insufficiency is a condition where the veins in the legs are unable to pump blood back up to the heart effectively, leading to swelling, pain, and other symptoms.","['Swelling in the legs, ankles, or feet', 'Pain, aching, or cramping in the legs', 'Skin changes (e.g., discoloration, thickening, ulcers)']","['Wearing compression stockings', 'Elevating the legs when sitting or lying down', 'Medications to improve blood flow or prevent blood clots']"
265,vertigo,Vertigo is a sensation of spinning dizziness that can occur without any movement. It is often caused by problems with the inner ear or brain.,"['Dizziness', 'Balance problems', 'Nausea or vomiting', 'Headache', 'Sweating', 'Ringing in the ears']","['Medications to relieve symptoms', 'Vestibular rehabilitation therapy', 'Surgery (in severe cases)']"
266,vitiligo,"Vitiligo is a condition that causes the skin to lose its pigment, resulting in white patches on the skin. It occurs when the cells that produce pigment in the skin are destroyed.","['White patches on the skin', 'Premature whitening of hair on scalp, eyelashes, eyebrows or beard', 'Loss of color inside the mouth', 'Loss or change in color of the retina']","['Topical corticosteroids', 'Topical calcineurin inhibitors', 'Narrowband ultraviolet B (NB-UVB) therapy', 'Excimer laser', 'Depigmentation (in severe cases)']"
267,whiplash,"Whiplash is a neck injury that occurs when the head is suddenly jerked backward and then forward, causing damage to the soft tissues in the neck.","['Neck pain and stiffness', 'Headache', 'Shoulder pain', 'Dizziness', 'Fatigue', 'Difficulty concentrating']","['Pain medication', 'Physical therapy', 'Chiropractic care', 'Muscle relaxants', 'Corticosteroid injections', 'Surgery (in rare cases)']"
268,wilson's disease,"Wilson's disease is a rare genetic disorder that causes copper to accumulate in the liver, brain and other organs. This can lead to liver disease, neurological problems and psychiatric symptoms.","['Fatigue', 'Abdominal pain', 'Jaundice', 'Tremors', 'Difficulty speaking or swallowing', 'Psychiatric symptoms (e.g. depression, anxiety, psychosis)']","['Chelation therapy', 'Zinc therapy', 'Liver transplant (in severe cases)']"
269,yeast infection,A yeast infection is a common fungal infection caused by the overgrowth of the Candida fungus.,"['Vaginal itching', 'Burning sensation during urination', 'Pain during sexual intercourse', 'Swelling and redness of the vulva', 'White, thick, odorless vaginal discharge with a cottage cheese-like appearance']","['Antifungal creams, ointments, or suppositories', 'Antifungal oral medications', 'Boric acid suppositories', 'Probiotics']"
270,zika virus infection,"Zika virus is a mosquito-borne virus that can cause mild to severe symptoms, including fever, rash, joint pain, and red eyes. It can also cause birth defects in infants born to infected mothers.","['Fever', 'Rash', 'Joint pain', 'Red eyes (conjunctivitis)', 'Muscle pain', 'Headache']","['Rest', 'Fluids', 'Pain relievers', 'Avoiding mosquito bites', 'Pregnant women should avoid travel to areas with ongoing Zika virus outbreaks']"
