Disease,Description,Symptoms,Treatments
uterine cancer,"Uterine cancer is a type of cancer that starts in the cells of the uterus (womb), which is a hollow organ in the female reproductive system.","abnormal vaginal bleeding (e.g., bleeding between periods, after menopause), pelvic pain or pressure, pain during sex","surgery to remove the uterus (hysterectomy) andor other affected organs, radiation therapy, chemotherapy"
varicella (chickenpox),"Varicella, commonly known as chickenpox, is a highly contagious disease caused by the varicella-zoster virus.","fever, headache, tiredness, rash, itching","antiviral medications, calamine lotion, acetaminophen (tylenol) for fever and discomfort"
varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.","swelling, aching pain, heaviness, burning or itching, discoloration, ulcers","compression stockings, sclerotherapy, laser treatment, endovenous ablation therapy, surgery"
venous insufficiency,"Venous insufficiency is a condition where the veins in the legs are unable to pump blood back up to the heart effectively, leading to swelling, pain, and other symptoms.","swelling in the legs, ankles, or feet, pain, aching, or cramping in the legs, skin changes (e.g., discoloration, thickening, ulcers)","wearing compression stockings, elevating the legs when sitting or lying down, medications to improve blood flow or prevent blood clots"
vertigo,Vertigo is a sensation of spinning dizziness that can occur without any movement. It is often caused by problems with the inner ear or brain.,"dizziness, balance problems, nausea or vomiting, headache, sweating, ringing in the ears","medications to relieve symptoms, vestibular rehabilitation therapy, surgery (in severe cases)"
vibrio infection,Vibrio infection is a bacterial infection caused by the Vibrio bacterium.,"diarrhea, abdominal pain, nausea and vomiting, fever, chills, low blood pressure","antibiotics, supportive care"
vitiligo,"Vitiligo is a condition that causes the skin to lose its pigment, resulting in white patches on the skin. It occurs when the cells that produce pigment in the skin are destroyed.","white patches on the skin, premature whitening of hair on scalp, eyelashes, eyebrows or beard, loss of color inside the mouth, loss or change in color of the retina","topical corticosteroids, topical calcineurin inhibitors, narrowband ultraviolet b (nb-uvb) therapy, excimer laser, depigmentation (in severe cases)"
west nile virus infection,"West Nile virus (WNV) is a viral infection that typically spreads through the bite of an infected mosquito. Most people with WNV do not experience any symptoms. However, about 1 in 5 people who are infected will develop a fever along with other symptoms.","fever, headache, body aches, fatigue, back pain, skin rash, swollen lymph nodes","there is no specific treatment for wnv infection, over-the-counter pain relievers can help reduce fever and relieve some symptoms, in severe cases, hospitalization may be necessary for supportive care, such as intravenous fluids, pain management, and nursing care"
whiplash,"Whiplash is a neck injury that occurs when the head is suddenly jerked backward and then forward, causing damage to the soft tissues in the neck.","neck pain and stiffness, headache, shoulder pain, dizziness, fatigue, difficulty concentrating","pain medication, physical therapy, chiropractic care, muscle relaxants, corticosteroid injections, surgery (in rare cases)"
wilson's disease,"Wilson's disease is a rare genetic disorder that causes copper to accumulate in the liver, brain and other organs. This can lead to liver disease, neurological problems and psychiatric symptoms.","fatigue, abdominal pain, jaundice, tremors, difficulty speaking or swallowing, psychiatric symptoms (e.g. depression, anxiety, psychosis)","chelation therapy, zinc therapy, liver transplant (in severe cases)"
yeast infection,A yeast infection is a common fungal infection caused by the overgrowth of the Candida fungus.,"vaginal itching, burning sensation during urination, pain during sexual intercourse, swelling and redness of the vulva, white, thick, odorless vaginal discharge with a cottage cheese-like appearance","antifungal creams, ointments, or suppositories, antifungal oral medications, boric acid suppositories, probiotics"
zika virus infection,"Zika virus is a mosquito-borne virus that can cause mild to severe symptoms, including fever, rash, joint pain, and red eyes. It can also cause birth defects in infants born to infected mothers.","fever, rash, joint pain, red eyes (conjunctivitis), muscle pain, headache","rest, fluids, pain relievers, avoiding mosquito bites, pregnant women should avoid travel to areas with ongoing zika virus outbreaks"
